SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
100396,1,Cash loans,M,N,N,0,112500.0,417024.0,25330.5,360000.0,Family,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.025164,-13707,365243,-7809.0,-4436,,1,0,0,1,0,0,,1.0
100401,1,Cash loans,F,N,Y,0,202500.0,343683.0,16663.5,261000.0,Unaccompanied,Pensioner,Secondary / secondary special,Separated,House / apartment,0.010966,-20200,365243,-973.0,-2779,,1,0,0,1,0,0,,1.0
100424,1,Cash loans,M,N,Y,0,112500.0,117162.0,12433.5,103500.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.01885,-18302,-136,-4005.0,-1281,,1,1,0,1,0,0,Laborers,1.0
100439,1,Cash loans,M,N,Y,0,81000.0,312840.0,22891.5,247500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.01885,-8038,-609,-8038.0,-727,,1,1,0,1,0,1,High skill tech staff,2.0
100452,1,Cash loans,M,N,Y,1,171000.0,1009566.0,36391.5,904500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.025164,-18767,-2046,-6555.0,-2317,,1,1,1,1,0,0,,3.0
100472,1,Cash loans,M,Y,Y,1,135000.0,545040.0,26509.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0084739999999999,-13923,-519,-10704.0,-4739,11.0,1,1,1,1,1,0,Laborers,3.0
100477,1,Cash loans,M,Y,Y,1,112500.0,284400.0,22599.0,225000.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.015221,-13715,-151,-6193.0,-3754,12.0,1,1,1,1,0,0,Drivers,3.0
100485,1,Revolving loans,M,Y,N,1,270000.0,810000.0,40500.0,810000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.026392,-11353,-651,-2513.0,-3962,8.0,1,1,1,1,1,0,Security staff,3.0
100490,1,Cash loans,M,N,N,0,135000.0,755190.0,38686.5,675000.0,Family,Working,Secondary / secondary special,Separated,House / apartment,0.00963,-9684,-2354,-3801.0,-2344,,1,1,1,1,0,0,Security staff,1.0
100540,1,Cash loans,F,N,Y,1,157500.0,338832.0,26901.0,292500.0,Unaccompanied,State servant,Secondary / secondary special,Single / not married,House / apartment,0.018029,-9289,-1003,-823.0,-1952,,1,1,0,1,0,0,Medicine staff,2.0
100541,1,Cash loans,F,Y,N,2,180000.0,900000.0,43299.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.018209,-10616,-1065,-3964.0,-2700,17.0,1,1,1,1,0,0,Sales staff,3.0
100547,1,Cash loans,M,Y,N,0,211500.0,450000.0,21888.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.026392,-10037,-148,-781.0,-2714,1.0,1,1,1,1,1,1,High skill tech staff,2.0
100567,1,Revolving loans,M,Y,Y,0,99000.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-8063,-261,-738.0,-735,10.0,1,1,0,1,0,0,Sales staff,2.0
100616,1,Cash loans,M,Y,N,0,225000.0,203760.0,22072.5,180000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.072508,-13481,-234,-4346.0,-1804,9.0,1,1,0,1,0,0,Laborers,1.0
100636,1,Cash loans,F,N,Y,0,211500.0,1506816.0,49927.5,1350000.0,Unaccompanied,Commercial associate,Higher education,Separated,House / apartment,0.026392,-21022,-1539,-3528.0,-4578,,1,1,0,1,1,0,High skill tech staff,1.0
100641,1,Cash loans,M,N,Y,0,112500.0,254700.0,20250.0,225000.0,Family,Commercial associate,Secondary / secondary special,Civil marriage,With parents,0.028663,-11405,-459,-11393.0,-2704,,1,1,0,1,0,0,Security staff,2.0
100646,1,Cash loans,M,Y,Y,0,216000.0,640080.0,31261.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010032,-15152,-298,-1290.0,-974,22.0,1,1,0,1,0,0,Laborers,2.0
100649,1,Cash loans,F,N,N,2,180000.0,284400.0,13387.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.020713,-11653,-4832,-4833.0,-3068,,1,1,0,1,0,0,,4.0
100650,1,Cash loans,M,N,N,0,135000.0,808650.0,31333.5,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.031329,-16582,-1496,-988.0,-124,,1,1,1,1,1,0,Low-skill Laborers,1.0
100672,1,Cash loans,M,N,Y,0,112500.0,808650.0,26217.0,675000.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.006852,-21107,365243,-8291.0,-4540,,1,0,0,1,0,0,,2.0
100690,1,Cash loans,F,N,Y,1,135000.0,244998.0,16704.0,175500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.007305,-12135,-3815,-1049.0,-4530,,1,1,0,1,0,0,Laborers,3.0
100713,1,Cash loans,F,N,Y,0,180000.0,755190.0,32125.5,675000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.025164,-12893,-290,-4688.0,-4746,,1,1,0,1,0,0,Accountants,2.0
100714,1,Cash loans,F,N,Y,0,99000.0,548770.5,21892.5,490500.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.020713,-21818,365243,-12710.0,-511,,1,0,0,1,0,0,,2.0
100717,1,Cash loans,M,N,Y,0,135000.0,284400.0,13833.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.020246,-10800,-908,-4300.0,-3160,,1,1,1,1,0,1,High skill tech staff,2.0
100784,1,Cash loans,F,N,Y,0,54000.0,1885500.0,74191.5,1885500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.031329,-22181,365243,-14266.0,-4714,,1,0,0,1,0,0,,2.0
100796,1,Cash loans,F,N,Y,0,405000.0,413235.0,32778.0,337500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Widow,House / apartment,0.00963,-19311,-514,-6886.0,-2846,,1,1,0,1,0,0,Cleaning staff,1.0
100808,1,Cash loans,F,N,Y,2,135000.0,640080.0,31261.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.022625,-9904,-1116,-737.0,-2241,,1,1,0,1,0,0,,4.0
100816,1,Cash loans,F,N,Y,0,157500.0,88884.0,4950.0,67500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.022625,-22562,365243,-9173.0,-4536,,1,0,0,1,0,0,,2.0
100839,1,Cash loans,M,N,N,0,180000.0,824823.0,29353.5,688500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.025164,-16532,-1815,-101.0,-84,,1,1,0,1,0,0,Laborers,1.0
100840,1,Cash loans,M,Y,Y,0,135000.0,450000.0,30442.5,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.04622,-14655,-239,-4822.0,-5181,6.0,1,1,1,1,0,0,Core staff,2.0
100879,1,Cash loans,F,Y,Y,0,450000.0,1323000.0,47650.5,1323000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.018209,-18740,-1369,-8719.0,-2232,2.0,1,1,0,1,0,0,Sales staff,2.0
100896,1,Cash loans,F,N,N,0,112500.0,1006920.0,44352.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-13913,-1252,-3481.0,-4344,,1,1,1,1,0,0,Laborers,2.0
100902,1,Cash loans,F,N,Y,0,117000.0,770292.0,32764.5,688500.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,Municipal apartment,0.0196889999999999,-21838,365243,-12041.0,-510,,1,0,0,1,0,0,,1.0
100936,1,Cash loans,F,N,Y,0,76500.0,390960.0,16695.0,337500.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.0072739999999999,-22167,365243,-12692.0,-3981,,1,0,0,1,0,0,,1.0
100945,1,Cash loans,F,N,Y,0,202500.0,1210500.0,39046.5,1210500.0,Family,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.0196889999999999,-14702,-238,-8781.0,-4810,,1,1,0,1,0,0,,2.0
100963,1,Cash loans,F,N,Y,0,112500.0,1002456.0,27009.0,810000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.025164,-20527,-395,-11264.0,-4048,,1,1,0,1,0,0,,2.0
100971,1,Cash loans,F,Y,N,1,180000.0,948582.0,33736.5,679500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.072508,-11073,-233,-5166.0,-3479,6.0,1,1,0,1,1,0,Accountants,3.0
100992,1,Cash loans,M,N,N,2,135000.0,203760.0,13396.5,180000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020713,-12755,-1453,-827.0,-619,,1,1,1,1,1,0,Laborers,4.0
100996,1,Cash loans,F,N,N,1,94500.0,675000.0,26154.0,675000.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.01885,-11952,-1087,-2429.0,-4622,,1,1,1,1,0,0,Sales staff,3.0
101042,1,Cash loans,F,N,Y,1,81000.0,521280.0,22959.0,450000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.026392,-15181,-3002,-3299.0,-4081,,1,1,1,1,1,1,Sales staff,3.0
101063,1,Cash loans,M,Y,N,2,202500.0,755190.0,38686.5,675000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.0066709999999999,-13955,-165,-8058.0,-4244,2.0,1,1,1,1,1,0,,4.0
101073,1,Cash loans,F,Y,N,0,540000.0,485640.0,44671.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0084739999999999,-14122,-1397,-6768.0,-2999,18.0,1,1,0,1,0,0,Managers,2.0
101076,1,Cash loans,F,N,Y,0,126000.0,324216.0,25744.5,256500.0,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.0084739999999999,-16015,-2891,-1238.0,-4859,,1,1,0,1,0,0,,1.0
101093,1,Cash loans,F,N,Y,0,166500.0,152820.0,17370.0,135000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.011703,-9082,-1247,-6104.0,-692,,1,1,0,1,0,0,High skill tech staff,2.0
101096,1,Cash loans,M,N,Y,0,112500.0,550980.0,35343.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.018029,-8824,-757,-1314.0,-1386,,1,1,0,1,0,0,Laborers,1.0
101121,1,Cash loans,M,N,Y,2,180000.0,436032.0,20326.5,360000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.002506,-15481,-207,-1897.0,-1833,,1,1,1,1,1,0,Laborers,4.0
101127,1,Cash loans,M,Y,N,0,211500.0,835380.0,45445.5,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.004849,-16492,-2128,-3538.0,-35,2.0,1,1,0,1,0,0,Laborers,2.0
101142,1,Cash loans,F,N,Y,2,135000.0,312768.0,17095.5,270000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-11006,-425,-5014.0,-1500,,1,1,0,1,0,0,Laborers,4.0
101147,1,Cash loans,M,N,Y,2,315000.0,1165500.0,34209.0,1165500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.018209,-12102,-1904,-1481.0,-3708,,1,1,0,1,0,0,Drivers,4.0
101165,1,Revolving loans,F,N,Y,0,157500.0,225000.0,11250.0,225000.0,Family,Pensioner,Secondary / secondary special,Widow,House / apartment,0.02461,-19862,365243,-6287.0,-1768,,1,0,0,1,1,0,,1.0
101197,1,Cash loans,F,N,Y,0,144000.0,314100.0,16443.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-10188,-766,-832.0,-2231,,1,1,0,1,0,0,Laborers,2.0
101201,1,Cash loans,F,N,Y,2,99000.0,180000.0,14562.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.010643,-12676,-643,-10103.0,-1638,,1,1,0,1,1,0,Laborers,3.0
101231,1,Cash loans,M,Y,Y,0,360000.0,343800.0,16852.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.016612,-14073,-900,-8214.0,-3811,16.0,1,1,0,1,0,0,Drivers,2.0
101245,1,Cash loans,M,N,Y,1,112500.0,314100.0,19215.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,Rented apartment,0.006305,-8402,-570,-2736.0,-803,,1,1,0,1,0,0,Security staff,3.0
101277,1,Cash loans,M,Y,N,0,225000.0,729792.0,43587.0,630000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.022625,-15930,-284,-2526.0,-3709,24.0,1,1,0,1,0,0,High skill tech staff,2.0
101286,1,Cash loans,M,N,Y,0,202500.0,579942.0,37192.5,495000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.0116569999999999,-12165,-965,-4712.0,-3951,,1,1,0,1,0,0,Laborers,2.0
101291,1,Cash loans,F,N,N,0,180000.0,521280.0,22216.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.010006,-20975,-676,-1335.0,-4220,,1,1,0,1,0,0,Sales staff,2.0
101300,1,Cash loans,F,N,N,0,81000.0,808650.0,31333.5,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.005313,-16333,-2631,-8396.0,-4317,,1,1,1,1,1,0,Sales staff,2.0
101330,1,Revolving loans,M,Y,Y,0,270000.0,180000.0,9000.0,180000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,With parents,0.006629,-15061,-1873,-2614.0,-1789,17.0,1,1,1,1,1,0,Drivers,1.0
101340,1,Cash loans,F,N,Y,1,135000.0,148500.0,15993.0,148500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.015221,-11025,-1746,-1725.0,-111,,1,1,0,1,0,0,Managers,3.0
101360,1,Cash loans,M,N,Y,0,46948.5,269550.0,11871.0,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.018029,-21167,365243,-3213.0,-4531,,1,0,0,1,0,0,,1.0
101373,1,Cash loans,M,Y,Y,0,175500.0,550980.0,40221.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020713,-16476,-2514,-8464.0,-29,26.0,1,1,0,1,0,0,Laborers,2.0
101382,1,Cash loans,F,N,Y,0,153000.0,432661.5,23598.0,373500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.0105,-8757,-751,-1195.0,-1206,,1,1,0,1,0,0,High skill tech staff,1.0
101406,1,Cash loans,F,N,N,0,87750.0,454500.0,14661.0,454500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.01885,-14441,-2286,-89.0,-1042,,1,1,1,1,1,0,Laborers,1.0
101420,1,Cash loans,M,Y,N,2,180000.0,972000.0,28417.5,972000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0072739999999999,-15124,-775,-5469.0,-2700,22.0,1,1,1,1,0,0,Drivers,4.0
101444,1,Cash loans,M,N,N,0,99000.0,810000.0,34317.0,810000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.01885,-10164,-629,-9196.0,-858,,1,1,0,1,1,0,Laborers,2.0
101458,1,Cash loans,M,N,N,0,202500.0,479637.0,38025.0,396000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.0031219999999999,-9006,-1404,-2946.0,-1681,,1,1,0,1,0,0,,2.0
101474,1,Cash loans,F,Y,Y,1,225000.0,576072.0,26986.5,405000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.04622,-13251,-845,-4294.0,-338,5.0,1,1,0,1,0,0,Cooking staff,3.0
101484,1,Cash loans,F,N,Y,1,135000.0,645048.0,35122.5,513000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.018029,-14492,-2357,-755.0,-2699,,1,1,0,1,1,0,Managers,3.0
101495,1,Cash loans,F,N,N,0,81000.0,450000.0,27193.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.02461,-15138,-717,-8515.0,-4203,,1,1,0,1,0,0,Cooking staff,2.0
101515,1,Cash loans,F,N,Y,2,112500.0,152820.0,11205.0,135000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.026392,-10323,-2342,-1794.0,-1886,,1,1,1,1,1,1,High skill tech staff,4.0
101516,1,Cash loans,F,N,Y,0,90000.0,390447.0,18333.0,274500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.020713,-10072,-1461,-1769.0,-2743,,1,1,0,1,0,0,Medicine staff,1.0
101531,1,Cash loans,F,N,Y,2,90000.0,675000.0,32602.5,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.015221,-13357,-4685,-590.0,-4109,,1,1,0,1,0,0,Medicine staff,4.0
101538,1,Cash loans,M,N,Y,2,112500.0,864000.0,25393.5,864000.0,Children,Working,Secondary / secondary special,Married,House / apartment,0.028663,-11922,-1868,-1465.0,-4580,,1,1,0,1,1,0,,4.0
101541,1,Cash loans,F,N,Y,0,202500.0,1170000.0,46525.5,1170000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.072508,-14317,-1932,-4662.0,-4850,,1,1,1,1,1,0,Accountants,2.0
101559,1,Cash loans,M,N,Y,0,292500.0,835380.0,45445.5,675000.0,"Spouse, partner",Commercial associate,Secondary / secondary special,Married,House / apartment,0.04622,-9900,-91,-4759.0,-1546,,1,1,0,1,1,0,High skill tech staff,2.0
101564,1,Cash loans,M,N,Y,0,112500.0,417024.0,18369.0,360000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-9912,-1268,-1348.0,-1397,,1,1,1,1,1,0,Drivers,2.0
101574,1,Cash loans,M,N,N,0,202500.0,450000.0,23562.0,450000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.028663,-18388,365243,-2850.0,-1936,,1,0,0,1,0,0,,2.0
101575,1,Revolving loans,M,N,N,0,112500.0,337500.0,16875.0,337500.0,Unaccompanied,Pensioner,Lower secondary,Married,Municipal apartment,0.018801,-21740,365243,-4521.0,-4527,,1,0,0,1,0,0,,2.0
101617,1,Cash loans,F,N,Y,1,112500.0,107820.0,8775.0,90000.0,Other_B,Commercial associate,Secondary / secondary special,Civil marriage,With parents,0.020713,-11238,-382,-214.0,-3708,,1,1,0,1,0,0,Sales staff,3.0
101646,1,Cash loans,M,Y,Y,1,247500.0,675000.0,49248.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.019101,-15753,-2882,-5273.0,-4554,16.0,1,1,0,1,0,0,Drivers,3.0
101705,1,Revolving loans,M,N,Y,0,675000.0,270000.0,13500.0,270000.0,Family,Commercial associate,Higher education,Married,House / apartment,0.008625,-17188,-3203,-5678.0,-728,,1,1,0,1,0,0,Managers,2.0
101721,1,Cash loans,M,N,Y,0,175500.0,385749.0,23440.5,333000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.016612,-16835,-5109,-2739.0,-384,,1,1,0,1,0,0,Laborers,2.0
101723,1,Cash loans,M,Y,Y,1,135000.0,447768.0,29920.5,405000.0,Unaccompanied,Working,Incomplete higher,Married,House / apartment,0.002134,-9207,-1252,-3311.0,-1667,10.0,1,1,0,1,0,0,,3.0
101730,1,Cash loans,F,Y,N,2,90000.0,450000.0,19066.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.031329,-13840,-2067,-3467.0,-857,9.0,1,1,0,1,0,0,Private service staff,4.0
101772,1,Cash loans,F,N,Y,0,76500.0,119925.0,12285.0,112500.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.026392,-22856,365243,-11227.0,-4639,,1,0,0,1,0,0,,1.0
101796,1,Cash loans,M,Y,Y,1,121500.0,270000.0,18396.0,270000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.018209,-11795,-3070,-3026.0,-4005,26.0,1,1,1,1,1,0,Laborers,3.0
101803,1,Cash loans,M,Y,N,0,157500.0,225000.0,17905.5,225000.0,Other_B,Working,Secondary / secondary special,Married,With parents,0.028663,-8075,-902,-2577.0,-767,12.0,1,1,0,1,0,0,Laborers,2.0
101805,1,Cash loans,F,Y,Y,0,135000.0,450000.0,22018.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.019101,-15308,-3571,-124.0,-4881,9.0,1,1,0,1,0,0,Private service staff,1.0
101842,1,Cash loans,F,N,Y,0,112500.0,1061599.5,31171.5,927000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.00712,-22025,365243,-8414.0,-4439,,1,0,0,1,0,0,,2.0
101859,1,Cash loans,M,Y,Y,0,220500.0,450000.0,24543.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-12022,-152,-6043.0,-4166,6.0,1,1,0,1,0,0,Laborers,2.0
101871,1,Cash loans,M,N,N,0,202500.0,675000.0,32472.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.019101,-10152,-2585,-1323.0,-2393,,1,1,1,1,0,0,Laborers,2.0
